c,,,,,,,,s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,c
c,,,,,,o,o,o,o,,,,,,,,,,,,,,,,,,,,,s,,,,,,,,,,c
c,,,,,,c,c,c,c,,o,o,,,,,,,,,,,,,,,,c,c,c,c,,,,,,,,,c
c,,,,,,,,,,,c,c,o,o,,,,,,,,,c,c,c,c,,,,,,,,,,,,,,c
c,,,c,,,,,,,,,,c,c,,,,p,,,,c,,,,,,,,,,,,,,,,,,c
c,,,c,,,,,,,,,,,,,w,w,w,w,w,,,,,,,,,,,s,,,,,,,,,c
c,,,c,c,c,,,,,,,,,,,,,,,,,,,,,,,,,c,c,c,c,,,,,,,c
c,,,,,,,,,,r,w,,,,,,,,,,,,,,,r,,,,,,,,,,,,,,c
c,,,,,s,,,w,w,w,,,,,,,,,,,o,o,o,o,,c,c,c,,,,,,,,,,,,c
c,,,w,w,w,w,,,,,,,,,,,,,,,o,o,o,o,,,,,,,,,,r,,,,,,c
c,,,,,,,,,,,o,o,,,,,,,c,,,,,,,,,,o,,,,,c,,o,o,o,,
c,,,,,,,,,,,o,o,,,,,,c,c,c,,,,,,,,,o,,,,c,c,c,o,o,o,,
c,,,,f,,,,,,,,,,,,,c,c,c,c,c,,,,,,,r,o,,c,c,c,c,c,c,o,o,,
w,w,w,w,w,w,w,w,w,w,w,,,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w,w
,,,,,,,,,,w,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,w,,,w,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,w,h,h,w,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,w,w,w,w,,,,,,,,,,,,,,,,,,,,,,,,,,,
